season_year,head_coach,gf,ga,notes_md
2025,Everett,2,2,D1 - Lost 4-5 in penalty kicks on 6th kick 
2025,Everett,3,1,De Pere/Preble/DC Everest Quad
2025,Everett,1,0,nan
2025,Everett,4,0,nan
2025,Everett,0,0,nan
2025,Everett,2,1,nan
2025,Everett,10,0,GB East/Manitowoc Tri
2025,Everett,8,0,GB East/Manitowoc Tri
2025,Everett,2,0,nan
2025,Everett,8,0,nan
2025,Everett,7,0,nan
2025,Everett,3,2,De Pere/Preble/DC Everest Quad
2025,Everett,2,0,nan
2025,Everett,2,1,nan
2025,Everett,1,1,nan
2025,Everett,3,0,nan
2025,Everett,1,0,D1 
2025,Everett,3,0,D1
2025,Everett,8,0,nan
2025,Everett,2,1,D1
2025,Everett,4,1,nan
2025,Everett,1,1,Won share of first ever FVA Championship
2025,Everett,8,0,nan
2025,Everett,2,0,nan
2024,Everett,4,1,nan
2024,Everett,3,1,nan
2024,Everett,4,0,nan
2024,Everett,1,1,nan
2024,Everett,0,1,nan
2024,Everett,4,0,GB East/Manitowoc Tri
2024,Everett,8,0,GB East/Manitowoc Tri
2024,Everett,0,0,nan
2024,Everett,1,0,nan
2024,Everett,4,0,nan
2024,Everett,5,0,nan
2024,Everett,7,0,nan
2024,Everett,1,1,nan
2024,Everett,6,0,nan
2024,Everett,3,0,nan
2024,Everett,2,3,nan
2024,Everett,1,0,nan
2024,Everett,6,0,nan
2024,Everett,4,3,D1
2024,Everett,0,2,D1
2024,Everett,1,1,nan
2023,Everett,1,1,nan
2023,Everett,1,3,nan
2023,Everett,8,0,GB East/Manitowoc Tri
2023,Everett,4,1,GB East/Manitowoc Tri
2023,Everett,3,1,nan
2023,Everett,1,0,nan
2023,Everett,1,1,nan
2023,Everett,2,0,nan
2023,Everett,4,0,nan
2023,Everett,1,0,nan
2023,Everett,0,4,nan
2023,Everett,6,1,nan
2023,Everett,0,2,D2
2023,Everett,5,0,nan
2023,Everett,0,1,nan
2023,Everett,0,1,nan
2023,Everett,4,0,nan
2023,Everett,7,0,nan
2023,Everett,10,0,D2
2023,Everett,2,0,D2
2023,Everett,1,1,nan
2022,Everett,2,0,nan
2022,Everett,7,0,GB East/Manitowoc Tri
2022,Everett,1,0,GB East/Manitowoc Tri
2022,Everett,1,1,nan
2022,Everett,2,1,nan
2022,Everett,0,1,nan
2022,Everett,1,2,nan
2022,Everett,0,1,nan
2022,Everett,0,0,nan
2022,Everett,1,2,nan
2022,Everett,1,2,nan
2022,Everett,1,1,nan
2022,Everett,0,1,nan
2022,Everett,5,0,nan
2022,Everett,2,1,nan
2022,Everett,0,5,D1
2022,Everett,0,0,nan
2022,Everett,0,0,nan
2022,Everett,0,2,nan
2021,Everett,3,0,nan
2021,Everett,2,0,nan
2021,Everett,0,1,nan
2021,Everett,7,1,nan
2021,Everett,7,0,nan
2021,Everett,2,2,nan
2021,Everett,10,0,nan
2021,Everett,1,1,nan
2021,Everett,10,0,nan
2021,Everett,4,3,nan
2021,Everett,4,0,nan
2021,Everett,2,0,nan
2021,Everett,0,4,nan
2021,Everett,1,3,nan
2021,Everett,9,0,nan
2021,Everett,0,2,nan
2021,Everett,1,4,nan
2021,Everett,3,1,nan
2021,Everett,1,1,nan
2021,Everett,3,5,D1
2020,Everett,1,1,nan
2020,Everett,5,0,nan
2020,Everett,3,3,nan
2020,Everett,0,2,nan
2020,Everett,2,0,COVID Season - Played Fall in WI Valley Conference
2020,Everett,0,2,nan
2020,Everett,4,1,D1
2020,Everett,3,0,nan
2020,Everett,2,4,Game was played in an inch of snow and called at 60 minutes
2020,Everett,4,0,D1
2020,Everett,0,4,nan
2020,Everett,0,1,D1 - Lost in game to go to state
2019,Everett,2,7,nan
2019,Everett,5,0,nan
2019,Everett,8,1,nan
2019,Everett,1,1,nan
2019,Everett,0,4,nan
2019,Everett,1,0,nan
2019,Everett,4,2,nan
2019,Everett,4,5,nan
2019,Everett,4,2,nan
2019,Everett,0,0,DeForest Invite
2019,Everett,2,2,DeForest Invite
2019,Everett,2,0,DeForest Invite
2019,Everett,0,1,nan
2019,Everett,2,3,nan
2019,Everett,2,2,D2
2019,Everett,2,0,D2
2019,Everett,13,0,D2
2019,Everett,0,4,D2 - Lost in game to go to state
2019,Everett,0,4,nan
2019,Everett,0,4,nan
2019,Everett,4,1,nan
2019,Everett,4,1,nan
2018,Everett,0,0,nan
2018,Everett,0,3,nan
2018,Everett,0,7,nan
2018,Everett,4,0,nan
2018,Everett,2,0,nan
2018,Everett,8,0,nan
2018,Everett,0,3,nan
2018,Everett,1,0,Stoughton Invite
2018,Everett,5,0,Stoughton Invite
2018,Everett,2,0,Stoughton Invite
2018,Everett,0,2,D2 
2018,Everett,3,2,nan
2018,Everett,1,5,nan
2018,Everett,2,2,nan
2018,Everett,3,1,nan
2018,Everett,0,1,nan
2018,Everett,0,1,nan
2018,Everett,9,0,nan
2018,Everett,1,2,nan
2017,Everett,2,3,nan
2017,Everett,1,3,nan
2017,Everett,3,0,nan
2017,Everett,3,4,nan
2017,Everett,4,0,nan
2017,Everett,0,2,nan
2017,Everett,1,8,nan
2017,Everett,1,2,Seymour Tri
2017,Everett,0,2,Seymour Tri
2017,Everett,1,0,Stoughton Invite
2017,Everett,0,0,Stoughton Invite
2017,Everett,4,8,nan
2017,Everett,4,0,Stoughton Invite
2017,Everett,10,0,nan
2017,Everett,1,6,nan
2017,Everett,0,0,nan
2017,Everett,0,10,nan
2017,Everett,1,3,nan
2017,Everett,6,3,nan
2017,Everett,0,5,D2
2017,Everett,1,9,nan
2016,Everett,9,1,nan
2016,Everett,2,0,Berlin Invite
2016,Everett,8,1,nan
2016,Everett,3,6,nan
2016,Everett,2,2,nan
2016,Everett,0,3,nan
2016,Everett,1,1,nan
2016,Everett,3,1,nan
2016,Everett,1,5,nan
2016,Everett,4,0,Berlin Invite
2016,Everett,4,0,Berlin Invite
2016,Everett,2,6,nan
2016,Everett,1,2,Polar Bear Tri
2016,Everett,3,11,nan
2016,Everett,7,2,nan
2016,Everett,2,1,nan
2016,Everett,0,6,nan
2016,Everett,6,0,nan
2016,Everett,1,1,nan
2016,Everett,1,7,Polar Bear Tri
2015,Everett,2,8,nan
2015,Everett,3,1,Berlin Invite
2015,Everett,4,0,Berlin Invite
2015,Everett,1,4,Berlin Invite
2015,Everett,2,3,nan
2015,Everett,1,5,nan
2015,Everett,4,3,nan
2015,Everett,2,6,nan
2015,Everett,0,12,nan
2015,Everett,3,0,nan
2015,Everett,2,4,nan
2015,Everett,2,5,nan
2015,Everett,1,5,nan
2015,Everett,1,5,nan
2015,Everett,5,0,nan
2015,Everett,1,8,nan
2015,Everett,2,7,nan
2015,Everett,0,3,nan
2015,Everett,1,0,nan
2015,Everett,1,3,nan
2015,Everett,4,3,nan
2014,Everett,1,1,Marshfield Tri
2014,Everett,0,2,nan
2014,Everett,10,0,nan
2014,Everett,4,2,nan
2014,Everett,2,1,Wausau Tri
2014,Everett,9,1,Wausau Tri
2014,Everett,0,1,nan
2014,Everett,2,1,nan
2014,Everett,1,1,nan
2014,Everett,0,4,nan
2014,Everett,2,0,Marshfield Tri
2014,Everett,2,1,Berlin Invite
2014,Everett,4,1,Berlin Invite
2014,Everett,1,0,Berlin Invite
2014,Everett,5,2,nan
2014,Everett,2,1,nan
2014,Everett,1,1,Polar Bear Tri
2014,Everett,0,2,Polar Bear Tri
2014,Everett,1,1,nan
2014,Everett,0,6,nan
2014,Everett,0,4,nan
2014,Everett,4,1,D2
2014,Everett,1,2,D2
2013,Everett,0,3,Wausau Invite
2013,Everett,1,2,nan
2013,Everett,3,2,nan
2013,Everett,1,2,Wausau Invite
2013,Everett,0,1,Wausau Invite
2013,Everett,11,0,nan
2013,Everett,3,1,nan
2013,Everett,4,2,nan
2013,Everett,10,2,nan
2013,Everett,2,3,nan
2013,Everett,3,0,Berlin Invite
2013,Everett,8,2,Berlin Invite
2013,Everett,13,0,nan
2013,Everett,1,0,Berlin Invite
2013,Everett,10,0,nan
2013,Everett,3,1,nan
2013,Everett,3,0,nan
2013,Everett,4,0,nan
2013,Everett,0,1,D2
2013,Everett,5,1,D2
2013,Everett,4,1,nan
2013,Everett,1,3,Polar Bear Tri
2013,Everett,2,2,Polar Bear Tri
2013,Everett,4,0,nan
2012,Everett,7,0,Berlin Invite
2012,Everett,5,0,nan
2012,Everett,1,3,nan
2012,Everett,1,3,nan
2012,Everett,3,1,nan
2012,Everett,0,5,nan
2012,Everett,11,0,nan
2012,Everett,2,1,nan
2012,Everett,0,0,Berlin Invite
2012,Everett,2,3,nan
2012,Everett,1,1,Berlin Invite
2012,Everett,3,5,nan
2012,Everett,4,1,nan
2012,Everett,7,2,nan
2012,Everett,0,1,nan
2012,Everett,4,2,nan
2012,Everett,5,0,nan
2012,Everett,0,6,D1
2012,Everett,5,2,nan
2011,Everett,2,0,nan
2011,Everett,3,1,Berlin Invite
2011,Everett,6,0,nan
2011,Everett,5,1,nan
2011,Everett,5,1,nan
2011,Everett,1,2,nan
2011,Everett,5,2,nan
2011,Everett,10,0,nan
2011,Everett,7,1,Berlin Invite
2011,Everett,0,3,nan
2011,Everett,2,2,Berlin Invite
2011,Everett,4,1,nan
2011,Everett,1,3,nan
2011,Everett,8,0,nan
2011,Everett,3,0,nan
2011,Everett,2,4,nan
2011,Everett,0,5,nan
2011,Everett,2,1,nan
2011,Everett,1,0,nan
2011,Everett,1,2,nan
2011,Everett,0,6,D1
2010,Montalbano,1,0,nan
2010,Montalbano,3,0,nan
2010,Montalbano,0,3,nan
2010,Montalbano,1,3,nan
2010,Montalbano,3,3,nan
2010,Montalbano,0,1,nan
2010,Montalbano,1,5,nan
2010,Montalbano,0,3,nan
2010,Montalbano,0,3,nan
2010,Montalbano,8,0,1st Polar Bear Quad
2010,Montalbano,0,3,1st Polar Bear Quad
2010,Montalbano,0,0,1st Polar Bear Quad
2010,Montalbano,1,2,nan
2010,Montalbano,2,0,nan
2010,Montalbano,1,2,nan
2010,Montalbano,2,1,nan
2010,Montalbano,4,3,nan
2010,Montalbano,0,6,nan
2010,Montalbano,1,2,nan
2010,Montalbano,0,1,nan
2010,Montalbano,1,2,nan
2010,Montalbano,0,1,nan
2009,Montalbano,4,1,St. Mary Central Invite 
2009,Montalbano,0,3,nan
2009,Montalbano,0,6,First game played at stadium
2009,Montalbano,7,0,nan
2009,Montalbano,5,0,nan
2009,Montalbano,2,0,nan
2009,Montalbano,5,0,nan
2009,Montalbano,1,0,nan
2009,Montalbano,3,0,St. Mary Central Invite 
2009,Montalbano,1,1,St. Mary Central Invite 
2009,Montalbano,1,3,nan
2009,Montalbano,2,4,nan
2009,Montalbano,1,4,Kimberly Invite - Played back to back 90 minute games
2009,Montalbano,1,3,Kimberly Invite
2009,Montalbano,2,1,nan
2009,Montalbano,2,0,nan
2009,Montalbano,2,2,nan
2009,Montalbano,1,1,Little Chute Quad
2009,Montalbano,0,2,Little Chute Quad
2009,Montalbano,2,0,Little Chute Quad - Played Conference team in Non-Conference meeting
2009,Montalbano,5,0,nan
2008,Montalbano,2,0,nan
2008,Montalbano,0,0,St. Mary Central Invite 
2008,Montalbano,3,2,St. Mary Central Invite 
2008,Montalbano,2,0,nan
2008,Montalbano,0,4,nan
2008,Montalbano,0,1,nan
2008,Montalbano,1,3,nan
2008,Montalbano,2,4,nan
2008,Montalbano,0,2,Sheboygan South Invite
2008,Montalbano,1,4,Sheboygan South Invite
2008,Montalbano,1,0,St. Mary Central Invite 
2008,Montalbano,3,0,Sheboygan South Invite
2008,Montalbano,0,2,nan
2008,Montalbano,2,0,nan
2008,Montalbano,0,3,nan
2008,Montalbano,0,6,Little Chute Quad
2008,Montalbano,5,0,Little Chute Quad
2008,Montalbano,0,0,Little Chute Quad - Played Conference team in Non-Conference meeting
2008,Montalbano,2,1,nan
2008,Montalbano,2,1,nan
2008,Montalbano,0,4,nan
2008,Montalbano,0,3,nan
2007,Montalbano,1,3,nan
2007,Montalbano,3,1,St. Mary Central Invite 
2007,Montalbano,2,1,nan
2007,Montalbano,1,1,nan
2007,Montalbano,2,1,nan
2007,Montalbano,2,0,Sheboygan South Invite
2007,Montalbano,1,8,nan
2007,Montalbano,1,3,nan
2007,Montalbano,1,0,Sheboygan South Invite
2007,Montalbano,1,1,St. Mary Central Invite 
2007,Montalbano,0,1,Sheboygan South Invite
2007,Montalbano,2,2,St. Mary Central Invite 
2007,Montalbano,3,0,nan
2007,Montalbano,1,3,nan
2007,Montalbano,1,3,Little Chute Quad - Played Conference team in Non-Conference meeting
2007,Montalbano,1,0,Little Chute Quad - Played Conference team in Non-Conference meeting
2007,Montalbano,0,1,Little Chute Quad
2007,Montalbano,1,6,nan
2007,Montalbano,1,0,nan
2007,Montalbano,1,2,nan
2007,Montalbano,3,2,nan
2007,Montalbano,0,1,nan
2007,Montalbano,0,10,nan
2007,Montalbano,2,1,nan
2006,Ruhle,0,4,nan
2006,Ruhle,1,4,St. Mary Central Invite 
2006,Ruhle,1,7,nan
2006,Ruhle,4,2,nan
2006,Ruhle,2,2,nan
2006,Ruhle,1,1,nan
2006,Ruhle,0,7,Sheboygan South Invite
2006,Ruhle,0,5,Sheboygan South Invite
2006,Ruhle,0,4,Sheboygan South Invite
2006,Ruhle,1,1,St. Mary Central Invite 
2006,Ruhle,1,1,St. Mary Central Invite 
2006,Ruhle,0,3,Kaukauna Invite
2006,Ruhle,3,4,nan
2006,Ruhle,1,5,nan
2006,Ruhle,0,3,Kaukauna Invite
2006,Ruhle,0,3,Kaukauna Invite
2006,Ruhle,0,7,nan
2006,Ruhle,1,1,nan
2006,Ruhle,0,3,nan
2006,Ruhle,1,2,nan
2006,Ruhle,0,1,nan
2006,Ruhle,1,0,nan
2005,Ruhle,3,6,nan
2005,Ruhle,6,1,nan
2005,Ruhle,2,1,nan
2005,Ruhle,3,1,nan
2005,Ruhle,1,2,nan
2005,Ruhle,0,3,nan
2005,Ruhle,6,1,nan
2005,Ruhle,9,1,nan
2005,Ruhle,3,4,nan
2005,Ruhle,0,4,nan
2005,Ruhle,1,3,nan
2005,Ruhle,0,6,nan
2005,Ruhle,9,2,nan
